PIB_LN,Conceito
11.87,A
11.86,A
11.99,B
11.98,B
11.98,B
12,C
12.03,C
12.03,C
12.04,C
12.07,C
12.09,C
12.06,C
11.99,B
11.98,B
12.09,C
12.09,C
12.09,C
12.1,D
12.11,D
12.14,D
12.13,D
12.17,D
12.19,D
12.17,D
12.11,D
12.08,C
12.18,D
12.15,D
12.2,E
12.18,D
12.22,E
12.25,E
12.23,E
12.3,F
12.31,F
12.28,E
12.24,E
12.21,E
12.32,F
12.3,F
12.34,F
12.32,F
12.35,F
12.36,F
12.33,F
12.41,G
12.4,G
12.38,F
12.36,F
12.35,F
12.42,G
12.44,G
12.45,G
12.47,G
12.51,H
12.5,H
12.52,H
12.56,H
12.51,H
12.46,G
12.41,G
12.4,G
12.5,H
12.48,G
12.5,H
12.51,H
12.55,H
12.55,H
12.57,H
12.64,I
12.64,I
12.62,I
12.56,H
12.55,H
12.67,I
12.65,I
12.66,I
12.67,I
12.7,J
12.71,J
12.73,J
12.77,J
12.79,J
12.76,J
12.7,J
12.71,J
12.78,J
12.78,J
12.82,K
12.8,K
12.81,K
12.83,K
12.82,K
12.86,K
12.88,K
12.86,K
12.81,K
12.81,K
12.89,K
12.86,K
12.9,L
12.89,K
12.92,L
12.95,L
12.91,L
12.97,L
12.96,L
12.93,L
12.92,L
12.89,K
12.98,L
13.01,M
13,M
12.98,L
13.02,M
13.03,M
13.01,M
13.07,M
13.06,M
13.05,M
13.02,M
13.03,M
13.08,M
13.08,M
13.08,M
13.04,M
13.1,N
13.09,M
13.11,N
13.14,N
13.12,N
13.12,N
