Ano,Mes,UF do Municipio,Quilograma Liquido
2022,10,Acre,2957025
2022,10,Alagoas,107513384
2022,10,Amapá,36611204
2022,10,Amazonas,23288281
2022,10,Bahia,1976683655
2022,10,Ceará,276761811
2022,10,Distrito Federal,4986116
2022,10,Espírito Santo,1802133183
2022,10,Exterior,357
2022,10,Goiás,1099671599
2022,10,Maranhão,1227634453
2022,10,Mato Grosso,5110681069
2022,10,Mato Grosso do Sul,1384401409
2022,10,Minas Gerais,11839625947
2022,10,Pará,13495293895
2022,10,Paraíba,45343935
2022,10,Paraná,2773897666
2022,10,Pernambuco,230954700
2022,10,Piauí,344163415
2022,10,Rio de Janeiro,8707886644
2022,10,Rio Grande do Norte,1134197780
2022,10,Rio Grande do Sul,1971502164
2022,10,Rondônia,96013714
2022,10,Roraima,87983893
2022,10,Santa Catarina,686668044
2022,10,São Paulo,6547538488
2022,10,Sergipe,6200165
2022,10,Tocantins,375547830
